product_id,product_category,product_type,product_detail,unit_price,total_units,total_transactions,total_revenue,volume_rank,revenue_share_pct,revenue_rank,efficiency_score,product_efficiency_score,total_units_norm,total_revenue_norm,efficiency_score_norm,hero_score,cumulative_revenue,cumulative_pct,is_80_pct
13,Coffee,Gourmet brewed coffee,Ethiopia Lg,3.5,3925,3060,13737.5,12,1.73,19,3.5,13737.5,0.8517448321847406,0.3370579672917117,0.07499999999625,49.1,365790.25,45.94,True
11,Coffee,Barista Espresso,Mocha Lg,5.0,2652,2027,13260.0,42,1.67,20,5.0,13260.0,0.568793065125457,0.32503286441727175,0.1499999999925,38.8,379050.25,47.6,True
72,Coffee Beans,Whole Bean,Columbian Whole Bean 12oz,16.5,794,636,13101.0,67,1.65,21,16.5,13101.0,0.1558124027561334,0.3210286940360446,0.72499999996375,33.6,392151.25,49.25,True
30,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,3.75,3364,2561,12615.0,26,1.58,22,3.75,12615.0,0.7270504556566509,0.3087895317387088,0.087499999995625,43.2,404766.25,50.83,True
34,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,3.1,3988,3097,12362.800000000001,9,1.55,23,3.1,12362.800000000001,0.8657479439873603,0.30243826274408314,0.054999999997250006,47.8,417129.05,52.38,True
52,Tea,Brewed Green tea,Serenity Green Tea Lg,3.0,4064,3118,12192.0,7,1.53,24,3.0,12192.0,0.8826405867968697,0.2981369275169536,0.0499999999975,48.2,429321.05,53.91,True
44,Tea,Brewed Black tea,English Breakfast Lg,3.0,3986,3022,11958.0,10,1.5,25,3.0,11958.0,0.865303400755531,0.2922439975219401,0.0499999999975,47.3,441279.05,55.42,True
12,Coffee,Gourmet brewed coffee,Ethiopia Rg,3.0,3882,2981,11646.0,14,1.46,26,3.0,11646.0,0.8421871527004129,0.2843867575285887,0.0499999999975,46.1,452925.05,56.88,True
3,Coffee,Barista Espresso,Cappuccino Lg,4.25,2712,2068,11526.0,39,1.45,27,4.25,11526.0,0.5821293620803328,0.28136474214653046,0.112499999994375,36.8,464451.05,58.33,True
40,Tea,Brewed Black tea,Earl Grey Rg,2.5,4592,3527,11480.0,1,1.44,28,2.5,11480.0,0.9999999999997776,0.2802063029167415,0.02499999999875,51.7,475931.05,59.77,True
47,Tea,Brewed herbal tea,Peppermint Rg,2.5,4520,3473,11300.0,3,1.42,29,2.5,11300.0,0.9839964436539266,0.2756732798436542,0.02499999999875,50.9,487231.05,61.19,True
36,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2.5,4504,3467,11260.0,4,1.41,30,2.5,11260.0,0.980440097799293,0.27466594138296807,0.02499999999875,50.7,498491.05,62.6,True
54,Tea,Brewed Green tea,Jade Green Tea Lg,3.0,3644,2795,10932.0,18,1.37,31,3.0,10932.0,0.7892865081127385,0.2664057660053423,0.0499999999975,43.2,509423.05,63.97,True
16,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,3.0,3488,2649,10464.0,21,1.31,32,3.0,10464.0,0.7546121360300612,0.25461990601531526,0.0499999999975,41.4,519887.05,65.29,True
55,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,3.5,2973,2311,10405.5,33,1.31,33,3.5,10405.5,0.640142253834043,0.25314667351656184,0.07499999999625,37.2,530292.55,66.59,True
33,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,2.55,4073,3092,10386.15,6,1.3,34,2.55,10386.15,0.8846410313401011,0.252659373536205,0.027499999998624992,46.0,540678.7000000001,67.9,True
24,Coffee,Organic brewed coffee,Brazilian Rg,3.0,3457,2653,10371.0,22,1.3,35,3.0,10371.0,0.7477217159367086,0.2522778440942201,0.0499999999975,41.0,551049.7000000001,69.2,True
25,Coffee,Organic brewed coffee,Brazilian Lg,3.5,2962,2283,10367.0,34,1.3,36,3.5,10367.0,0.6376972660589825,0.25217711024815154,0.07499999999625,37.1,561416.7000000001,70.5,True
77,Loose Tea,Loose Leaf,Earl Grey Loose 4oz,10.0,1033,809,10330.0,65,1.3,37,10.0,10330.0,0.20893531895972237,0.2512453221720169,0.39999999998,26.4,571746.7000000001,71.8,True
22,Coffee,Drip coffee,Our Old Time Diner Blend Lg,3.0,3427,2610,10281.0,24,1.29,38,3.0,10281.0,0.7410535674592706,0.25001133255767644,0.0499999999975,40.6,582027.7000000001,73.09,True
39,Tea,Brewed Chai tea,Traditional Blend Chai Lg,3.0,3102,2420,9306.0,31,1.17,39,3.0,9306.0,0.6688152922870262,0.22545745757845342,0.0499999999975,36.8,591333.7000000001,74.26,True
41,Tea,Brewed Black tea,Earl Grey Lg,3.0,3062,2337,9186.0,32,1.15,40,3.0,9186.0,0.6599244276504422,0.22243544219639522,0.0499999999975,36.3,600519.7000000001,75.41,True
15,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,2.5,3493,2697,8732.5,20,1.1,41,2.5,8732.5,0.7557234941096341,0.21101474239836687,0.02499999999875,39.2,609252.2000000001,76.51,True
29,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,3.1,2752,2114,8531.2,37,1.07,42,3.1,8531.2,0.5910202267169168,0.2059453115949642,0.054999999997250006,33.0,617783.4,77.58,True
19,Coffee,Gourmet brewed coffee,Ethiopian Full Roast Lg,3.3,2575,1963,8497.5,43,1.07,43,3.3,8497.5,0.5516781507000329,0.2050966289418362,0.06499999999674999,31.6,626280.9,78.65,True
38,Tea,Brewed Chai tea,Traditional Blend Chai Rg,2.5,3378,2606,8445.0,25,1.06,44,2.5,8445.0,0.7301622582794554,0.2037744972121857,0.02499999999875,37.9,634725.9,79.71,True
45,Tea,Brewed Black tea,Darjeeling Rg,2.6,3186,2433,8283.6,28,1.04,45,2.6,8283.6,0.6874861080238525,0.19970988652331742,0.029999999998500004,36.1,643009.5,80.75,False
46,Tea,Brewed Black tea,Darjeeling Lg,3.2,2573,2008,8233.6,44,1.03,46,3.2,8233.6,0.5512336074682037,0.19845071344745982,0.05999999999700001,31.2,651243.1,81.78,False
48,Tea,Brewed herbal tea,Peppermint Lg,3.0,2709,2062,8127.0,40,1.02,47,3.0,8127.0,0.581462547232589,0.19576615644973144,0.0499999999975,32.1,659370.1,82.8,False
50,Tea,Brewed herbal tea,Lemon Grass Lg,3.0,2695,2063,8085.0,41,1.02,48,3.0,8085.0,0.5783507446097848,0.19470845106601106,0.0499999999975,31.9,667455.1,83.82,False
51,Tea,Brewed Green tea,Serenity Green Tea Rg,2.5,3217,2448,8042.5,27,1.01,49,2.5,8042.5,0.694376528117205,0.1936381539515321,0.02499999999875,36.0,675497.6,84.83,False
49,Tea,Brewed herbal tea,Lemon Grass Rg,2.5,3149,2415,7872.5,29,0.99,50,2.5,7872.5,0.6792620582350123,0.1893569654936163,0.02499999999875,35.2,683370.1,85.82,False
53,Tea,Brewed Green tea,Jade Green Tea Rg,2.5,3115,2409,7787.5,30,0.98,51,2.5,7787.5,0.671704823293916,0.1872163712646584,0.02499999999875,34.9,691157.6,86.8,False
80,Packaged Chocolate,Bar,Dark Chocolate Bar 3oz,6.5,1188,932,7722.0,63,0.97,52,6.5,7722.0,0.24338741942648512,0.18556685453528493,0.22499999998875,21.7,698879.6,87.76,False
61,Bakery,Scone,Jumbo Savory Scone,3.75,1936,1475,7260.0,48,0.91,53,3.75,7260.0,0.4096465881306046,0.1739320953143608,0.087499999995625,25.1,706139.6,88.68,False
43,Tea,Brewed Black tea,English Breakfast Rg,2.5,2863,2186,7157.5,35,0.9,54,2.5,7157.5,0.6156923760834372,0.17135079050885274,0.02499999999875,32.0,713297.1,89.58,False
18,Coffee,Gourmet brewed coffee,Ethiopian Full Roast Rg,2.8,2531,1945,7086.799999999999,45,0.89,55,2.8,7086.799999999999,0.5418981995997906,0.16957031977959008,0.03999999999799999,29.3,720383.9,90.47,False
21,Coffee,Drip coffee,Our Old Time Diner Blend Rg,2.5,2795,2149,6987.5,36,0.88,56,2.5,6987.5,0.6005779062012445,0.16706960205093693,0.02499999999875,31.2,727371.4,91.34,False
8,Coffee,Barista Espresso,Carmelized Honey Latte,4.75,1300,994,6175.0,60,0.78,57,4.75,6175.0,0.2682818404089201,0.14660803956825108,0.137499999993125,19.3,733546.4,92.12,False
64,Bakery,Scone,Ginger Scone,3.25,1845,1416,5996.25,50,0.75,58,3.25,5996.25,0.3894198710823762,0.14210649582206017,0.062499999996875,22.5,739542.65,92.87,False
69,Bakery,Pastry,Almond Croissant,4.0,1492,1171,5968.0,56,0.75,59,4.0,5968.0,0.310957990664523,0.14139506303420063,0.099999999995,20.1,745510.65,93.62,False
63,Bakery,Scone,Cranberry Scone,3.25,1566,1208,5089.5,54,0.64,60,3.25,5089.5,0.32740609024220324,0.11927139209138277,0.062499999996875,19.1,750600.15,94.26,False
28,Coffee,Premium brewed coffee,Jamaican Coffee River Sm,2.45,2004,1519,4909.8,47,0.62,61,2.45,4909.8,0.4247610580127973,0.11474592405675059,0.02249999999887501,22.0,755509.9500000001,94.88,False
68,Bakery,Pastry,Chocolate Croissant,3.75,1252,948,4695.0,62,0.59,62,3.75,4695.0,0.2576128028450194,0.10933651652286637,0.087499999995625,16.4,760204.9500000001,95.47,False
6,Coffee,Barista Espresso,Espresso shot,3.0,1466,1119,4398.0,57,0.55,63,3.0,4398.0,0.3051789286507434,0.10185702845227226,0.0499999999975,17.3,764602.9500000001,96.02,False
7,Coffee,Barista Espresso,Ouro Brasileiro shot,3.0,1409,1076,4227.0,58,0.53,64,3.0,4227.0,0.29250944654361133,0.0975506565328393,0.0499999999975,16.6,768829.9500000001,96.55,False
65,Bakery,Biscotti,Hazelnut Biscotti,3.25,1169,901,3799.25,64,0.48,65,3.25,3799.25,0.23916425872410774,0.08677843086887761,0.062499999996875,14.3,772629.2000000001,97.03,False
62,Bakery,Scone,Scottish Cream Scone,4.5,783,608,3523.5,68,0.44,66,4.5,3523.5,0.1533674149810728,0.079834091355523,0.12499999999375,11.8,776152.7000000001,97.47,False
60,Bakery,Scone,Oatmeal Scone,3.0,931,708,2793.0,66,0.35,67,3.0,2793.0,0.18626361413643336,0.06143757271724359,0.0499999999975,10.9,778945.7000000001,97.82,False
70,Bakery,Pastry,Cinnamon Roll,3.75,711,544,2666.25,70,0.33,68,3.75,2666.25,0.13736385863522174,0.058245568969944594,0.087499999995625,9.6,781611.9500000001,98.15,False
20,Coffee,Drip coffee,Our Old Time Diner Blend Sm,2.0,1333,1012,2666.0,59,0.33,69,2.0,2666.0,0.27561680373410186,0.05823927310456531,0.0,13.4,784277.9500000001,98.49,False
66,Bakery,Biscotti,Chocolate Chip Biscotti,3.5,699,545,2446.5,71,0.31,70,3.5,2446.5,0.13469659924424654,0.05271150330155048,0.07499999999625,9.0,786724.4500000001,98.8,False
67,Bakery,Biscotti,Ginger Biscotti,3.5,607,447,2124.5,72,0.27,71,3.5,2124.5,0.1142476105801035,0.04460242869302759,0.07499999999625,7.9,788848.9500000001,99.06,False
4,Coffee,Barista Espresso,Cappuccino,3.75,514,400,1927.5,73,0.24,72,3.75,1927.5,0.09357635030004588,0.03964128677414869,0.087499999995625,7.1,790776.4500000001,99.31,False
14,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,2.0,734,554,1468.0,69,0.18,73,2.0,1468.0,0.1424761058012575,0.02806948620701742,0.0,6.8,792244.4500000001,99.49,False
23,Coffee,Organic brewed coffee,Brazilian Sm,2.2,510,404,1122.0,74,0.14,74,2.2,1122.0,0.09268726383638748,0.019356008522082892,0.00999999999950001,4.7,793366.4500000001,99.63,False
17,Coffee,Gourmet brewed coffee,Ethiopian Full Roast Sm,2.2,452,350,994.4000000000001,75,0.12,75,2.2,994.4000000000001,0.07979551011334078,0.01614259883249432,0.00999999999950001,4.0,794360.8500000001,99.76,False
31,Coffee,Premium brewed coffee,Jamaican Coffee River,3.5,133,97,465.5,76,0.06,76,3.5,465.5,0.008890864636583931,0.0028230660360727203,0.07499999999625,2.0,794826.3500000001,99.81,False
32,Coffee,Premium brewed coffee,Guatemalan Sustainably Grown,3.2,129,99,412.8,77,0.05,77,3.2,412.8,0.008001778172925538,0.0014958976141188193,0.05999999999700001,1.6,795239.1500000001,99.87,False
42,Tea,Brewed Black tea,Earl Grey,2.8,128,97,358.4,78,0.05,78,2.8,358.4,0.007779506557010939,0.00012591730758575913,0.03999999999799999,1.1,795597.5500000002,99.91,False
35,Tea,Brewed Chai tea,Spicy Eye Opener Chai,2.8,128,98,358.4,78,0.05,78,2.8,358.4,0.007779506557010939,0.00012591730758575913,0.03999999999799999,1.1,795955.9500000002,99.96,False
57,Drinking Chocolate,Hot chocolate,Dark chocolate,3.8,93,69,353.4,79,0.04,79,3.8,353.4,0.0,0.0,0.08999999999549999,1.8,796309.3500000002,100.0,False
